HepMC::Version 2.06.11
HepMC::IO_GenEvent-START_EVENT_LISTING
E 3 -1 -1.0000000000000000e+00 -1.0000000000000000e+00 -1.0000000000000000e+00 0 0 1 0 0 0 0
U GEV MM
H 1 1 1 1 0 0 0 0 0 1.6698925018310547e+01 5.4700055122375488e+00 1.0000000000000000e+00 4.2000000000000000e+01
V -1 0 0 0 0 0 2 10 0
P 10001 3000197 0 0 1.0000000000000000e+02 1.0000000000000000e+02 0 101 0 0 -1 0
P 10002 3000197 0 0 -1.0000000000000000e+02 1.0000000000000000e+02 0 102 0 0 -1 0
P 10003 2212 6.7158746719360352e-01 3.5213038325309753e-02 9.9746658325195312e+01 9.9753341674804688e+01 9.3864719831828525e-01 1 0 0 0 0
P 10004 111 -1.8910862505435944e-01 -5.7505730539560318e-02 -2.6493053883314133e-02 2.4082379043102264e-01 1.3500087043668313e-01 1 0 0 0 0
P 10005 211 -9.3845754861831665e-02 -1.4272923767566681e-01 -3.6247307062149048e-01 4.2432713508605957e-01 1.3959989130191697e-01 1 0 0 0 0
P 10006 211 -4.4460621476173401e-01 8.9151538908481598e-02 -2.1699128150939941e+00 2.2211782932281494e+00 1.3960194162068254e-01 1 0 0 0 0
P 10007 -211 -1.2497081607580185e-01 9.4281405210494995e-02 -1.9074012339115143e-01 2.8350779414176941e-01 1.3960009465878875e-01 1 0 0 0 0
P 10008 111 1.6750045120716095e-02 7.1736812591552734e-02 -4.9766054749488831e-01 5.2088177204132080e-01 1.3500024303553282e-01 1 0 0 0 0
P 10009 -211 2.3380005359649658e-01 -3.1765073537826538e-01 -4.8958306312561035e+00 4.9136757850646973e+00 1.3959833823349946e-01 1 0 0 0 0
P 10010 111 1.3206304609775543e-01 3.3242660760879517e-01 -2.5201563835144043e+00 2.5489921569824219e+00 1.3499896813897833e-01 1 0 0 0 0
P 10011 2112 1.8734931945800781e-02 1.8607314676046371e-02 -5.0029327392578125e+01 5.0038158416748047e+01 9.3968141195365507e-01 1 0 0 0 0
P 10012 111 -2.2040401399135590e-01 -1.2353094667196274e-01 -3.9053871154785156e+01 3.9054920196533203e+01 1.3454203375813401e-01 1 0 0 0 0
HepMC::IO_GenEvent-END_EVENT_LISTING
